lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1138_translation,version_1139_translation,version_1140_translation,version_1141_translation,version_1142_translation,version_1143_translation,english_translation
γενεά,282,unigram,feminine,accusative,plural,mandimby,1.0961654628313675,mandimby,,,,,,generation
γενεά,244,unigram,feminine,accusative,singular,taranaka,12.667989605793727,taranaka,taranaka,ankehitriny,ankehitriny,taranaka,taranaka,generation
γενεά,326,unigram,feminine,nominative,plural,taranaka,10.925118442854775,taranaka,taranaka,taranaka,taranaka,taranaka,taranaka,generation
γενεά,157,unigram,feminine,nominative,singular,taranaka,72.26045186711437,taranaka,taranaka,,,taranaka,taranaka,generation
δῶρον,318,unigram,neuter,accusative,plural,,,nanatitra,tao,vata,vata,rakitra,tao,gift
δῶρον,172,unigram,neuter,accusative,singular,alitara,4.122168726360376,ôtely,alitara,alitara,alitara,alitara,alitara,gift
ἡγεμών,179,unigram,masculine,accusative,plural,mpanjaka,1.3584437727649525,mpanjaka,mpanjaka,mpifehy,mpifehy,mpanjaka,anatrehan'ny,"governor, ruler"
ἡγεμών,13,unigram,masculine,accusative,singular,governora,1.2729857256897277,governora,indraim-bava,governora,governora,,indraim-bava,"governor, ruler"
σταφυλή,195,unigram,feminine,accusative,plural,mioty,1.0960524252565438,mioty,,,,,,grapes
ἀσπασμός,331,unigram,masculine,accusative,plural,an-kianja,1.9281324033321865,an-kianja,an-tsena,an-kianja,an-kianja,hoarahabain,an-tsena,greeting
ἀσπασμός,180,unigram,masculine,accusative,singular,fiarahaban,1.0960768946513286,fiarahaban,,,,,,greeting
ὁδηγός,4,unigram,masculine,nominative,plural,mitarika,1.3951316327346097,,mitarika,mitantana,mitantana,mitarika,mitarika,guide
ὁδηγός,3,unigram,masculine,nominative,singular,,,mpitari-dalana,mpitarika,mpitari-dalana,mpitari-dalana,mpitarika,mpitarika,guide
θρίξ,100,unigram,feminine,nominative,plural,volon-dohanareo,1.2239014391116383,,,volon-dohanareo,volon-dohanareo,,,hair
θρίξ,228,unigram,feminine,nominative,singular,singam-bolo,1.7341278231437391,singam-bolo,singam-bolo,singam-bolo,singam-bolo,singam-bolo,singam-bolo,hair
χείρ,322,unigram,feminine,accusative,plural,tanana,9.682018226479565,tanana,tànany,tanana,tanana,tanany,tànany,hand
χείρ,231,unigram,feminine,accusative,singular,,,tanany,tànany,tanana,tanana,tanany,tànany,hand
κεφαλή,149,unigram,feminine,accusative,plural,nanevateva,1.464500232416044,nanevateva,nandalo,nanevateva,nanevateva,,nandalo,head
κεφαλή,216,unigram,feminine,accusative,singular,lohany,5.612958340531159,lohany,lohany,lohan,lohan,lohany,lohany,head
στάχυς,217,unigram,masculine,accusative,plural,salohim-bary,1.0441014053159638,,,,,salohim-bary,,head of grain
στάχυς,82,unigram,masculine,accusative,singular,tahony,1.2013523596909814,,tahony,,,,tahony,head of grain
καρδία,297,unigram,feminine,accusative,singular,fonareo,3.278680890464397,fonareo,fonareo,hevitra,hevitra,Satria,fonareo,heart
