lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1513_translation,version_1514_translation,version_1515_translation,version_1516_translation,version_1517_translation,english_translation
ὄρος,257,unigram,neuter,accusative,singular,górę,31.988946031042087,górę,górę,górę,na,górę,mountain
ὄνομα,34,unigram,neuter,accusative,singular,imię,80.45497164419352,imię,imię,Imię,imię,imię,name
ὄνομα,99,unigram,neuter,nominative,plural,imiona,15.703923401122537,imiona,imiona,imiona,,imiona,name
ὄνομα,246,unigram,neuter,nominative,singular,imię,215.81601865990672,imię,imię,imię,imię,imię,name
ἔθνος,223,unigram,neuter,accusative,plural,narody,2.7869784429771887,narody,,narodów,narody,,nation
ἔθνος,189,unigram,neuter,accusative,singular,naród,6.001899921940268,naród,naród,naród,,naród,nation
ἔθνος,294,unigram,neuter,nominative,plural,narody,6.859711447620516,,narody,narody,,narody,nation
ἔθνος,26,unigram,neuter,nominative,singular,naród,5.139604539830549,naród,naród,naród,,naród,nation
νύξ,184,unigram,feminine,accusative,plural,dni,1.2374327914521317,nocy,dni,dni,dni,,night
νύξ,239,unigram,feminine,accusative,singular,dniem,1.0595770845675438,,,dniem,,,night
ὅρκος,60,unigram,masculine,accusative,plural,przysięgi,2.2677306369732304,przysięgi,gości,przysięgi,,przysięgę,oath
ὅρκος,256,unigram,masculine,accusative,singular,przysięgę,1.2013630877021924,przysięgę,,,,przysięgę,oath
βοῦς,149,unigram,masculine,accusative,plural,woły,1.310972029228094,woły,bydło,byki,też,woły,ox
παραβολή,252,unigram,feminine,accusative,plural,podobieństwa,5.657024861699611,podobieństwa,Potem,podobieństwa,przypowieść,przypowieści,parable
παραβολή,217,unigram,feminine,accusative,singular,przypowieść,16.72277840068865,podobieństwo,przypowieść,podobieństwo,przypowieść,przypowieść,parable
μέρος,335,unigram,neuter,accusative,plural,,,strony,okolice,strony,tereny,okolice,part
μέρος,52,unigram,neuter,accusative,singular,część,2.4984427616780707,część,ukarze,część,,,part
μαργαρίτης,219,unigram,masculine,accusative,plural,pereł,31.99592288373735,pereł,pereł,pereł,pereł,pereł,pearls
τόπος,265,unigram,masculine,accusative,plural,krajów,1.0442576711447489,,,,krajów,,place
τόπος,287,unigram,masculine,accusative,singular,miejsce,357.78233914137735,miejsce,miejsce,miejsce,miejsce,miejsce,place
πρωτοκλισία,268,unigram,feminine,accusative,plural,,,miejsca,ucztach,wieczerzach,,pierwsze,place of honor
πρωτοκλισία,36,unigram,feminine,accusative,singular,miejsca,1.4235905061224439,,,miejsca,,,place of honor
ὄφις,100,unigram,masculine,accusative,singular,węża,6.249888893879689,węża,węża,węża,,węża,poison
σκεῦος,135,unigram,neuter,accusative,plural,,,,,sprzęt,siłacza,,"possession, object, thing, jar, vessel"
σκεῦος,126,unigram,neuter,nominative,plural,,,,schodzi,sprzęty,,,"possession, object, thing, jar, vessel"
δύναμις,102,unigram,feminine,accusative,plural,cudów,5.357338333276876,cudów,cudów,cudów,wielu,cudów,"power, ability, miracle"
δύναμις,46,unigram,feminine,accusative,singular,mocy,1.127565787764685,mocy,moc,moc,mocy,mocy,"power, ability, miracle"
δύναμις,80,unigram,feminine,nominative,plural,cuda,5.941332190116059,cuda,cuda,cuda,cuda,cuda,"power, ability, miracle"
δύναμις,112,unigram,feminine,nominative,singular,moc,26.906693498330203,moc,moc,moc,mocą,moc,"power, ability, miracle"
ἱερεύς,19,unigram,masculine,nominative,plural,,,,kapłani,profanują,,naruszają,priest
ἱερεύς,236,unigram,masculine,nominative,singular,kapłan,3.9598184147782463,kapłan,kapłan,kapłan,,kapłan,priest
φυλακή,24,unigram,feminine,accusative,singular,więzienia,53.71119999265138,więzienia,,więzienia,więzienia,więzienia,prison
προφήτης,63,unigram,masculine,accusative,plural,proroków,115.12241093923096,proroki,proroków,proroków,proroków,proroków,prophet
προφήτης,195,unigram,masculine,accusative,singular,proroka,132.56483536511195,proroka,proroka,proroka,proroka,proroka,prophet
προφήτης,218,unigram,masculine,nominative,plural,,,prorocy,Prorocy,prorocy,proroków,Prorocy,prophet
προφήτης,258,unigram,masculine,nominative,singular,prorok,25.322965193105468,prorok,prorok,prorok,prorok,prorok,prophet
βαλλάντιον,18,unigram,neuter,accusative,singular,pieniędzy,1.527057472324996,,,,pieniędzy,,purse
ποταμός,122,unigram,masculine,nominative,plural,rzeki,1.532311436188919,,rzeki,,,,river
ποταμός,164,unigram,masculine,nominative,singular,,,,zrobił,,dom,rzeka,river
λῃστής,42,unigram,masculine,accusative,plural,,,zbójców,,rozbójników,,bandytów,robber
λῃστής,334,unigram,masculine,accusative,singular,,,zbójcę,,,,bandytę,robber
λῃστής,313,unigram,masculine,nominative,plural,,,zbójcy,,rozbójnicy,przestępcy,,robber
λῃστής,154,unigram,masculine,nominative,singular,,,zbójca,,,,bandytą,robber
ἄρχων,200,unigram,masculine,accusative,plural,przełożonych,1.5180117063990815,przełożonych,przełożonych,przełożonych,członków,zwoławszy,ruler
ἄρχων,92,unigram,masculine,accusative,singular,spotkasz,1.0962149939516397,,,,spotkasz,,ruler
ἄρχων,67,unigram,masculine,nominative,plural,przełożeni,4.098102678203897,przełożeni,przełożeni,przełożeni,przywódcy,,ruler
ἄρχων,307,unigram,masculine,nominative,singular,władca,2.461738966296184,książę,świata,władca,władca,władca,ruler
ἀκοή,8,unigram,feminine,accusative,plural,,,,dotrą,wojny,walkach,pogłoski,rumor
ἀκοή,76,unigram,feminine,accusative,singular,,,Tetrarcha,tetrarcha,Tetrarcha,,tetrarcha,rumor
ἀκοή,324,unigram,feminine,nominative,singular,rozeszła,1.3024289464943888,rozeszła,całej,,,rozeszła,rumor
βιβλίον,54,unigram,neuter,accusative,singular,,,,,zwój,,księgę,"scroll, book"
διάκονος,88,unigram,masculine,nominative,singular,sługą,4.709918381304849,sługą,niech,sługą,sługą,sługą,"servant, minister, deacon"
δοῦλος,206,unigram,masculine,accusative,plural,sługi,9.78638254719908,sług,służących,sługi,wysłał,sługi,"servant, slave"
δοῦλος,27,unigram,masculine,accusative,singular,sługę,173.43222725685803,sługę,sługę,sługę,wysłał,sługę,"servant, slave"
δοῦλος,98,unigram,masculine,nominative,plural,słudzy,88.00815015043804,słudzy,,słudzy,pracownicy,słudzy,"servant, slave"
δοῦλος,201,unigram,masculine,nominative,singular,sługa,136.8819955420484,sługa,sługa,sługa,sługa,sługa,"servant, slave"
πρόβατον,317,unigram,neuter,accusative,plural,owce,87.97262472823459,owce,owce,owce,owce,owce,sheep
πρόβατον,141,unigram,neuter,accusative,singular,owcę,15.998354269667868,owcę,owcę,owcę,,owcę,sheep
ποιμήν,244,unigram,masculine,nominative,plural,pasterze,50.08909724325741,pasterze,pasterze,pasterze,pasterze,pasterze,"shepherd, pastor"
ποιμήν,279,unigram,masculine,nominative,singular,owce,1.2054099131667628,pasterz,owce,pasterz,owce,owce,"shepherd, pastor"
