lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_483_translation,version_484_translation,english_translation
φωνή,211,unigram,feminine,nominative,singular,kunka,2.848033800105393,kunka,kunka,voice or sound
πόλεμος,172,unigram,masculine,accusative,plural,Awqa-tinkuykunamanta,1.4483536195330116,Awqa-tinkuykunamanta,Awqa-tinkuykunamanta,war
ὕδωρ,226,unigram,neuter,accusative,plural,patanta,1.0659260547486191,patanta,patanta,water
ὕδωρ,64,unigram,neuter,accusative,singular,unuta,12.218093653398412,unuta,unuta,water
ὕδωρ,76,unigram,neuter,nominative,singular,unu,2.2040309223400314,unu,unu,water
ὑδρία,79,unigram,feminine,accusative,singular,p'uyñunta,1.3486237585650054,p'uyñunta,p'uyñunta,water jar
ὁδός,173,unigram,feminine,accusative,plural,hatun,1.0272069397702202,hatun,,way
ὁδός,96,unigram,feminine,accusative,singular,ñan,3.177178727050683,ñan,ñan,way
γάμος,108,unigram,masculine,accusative,plural,casarakuy,1.1067736870850666,casarakuy,casarakuy,wedding
γυνή,118,unigram,feminine,accusative,singular,warmiwan,1.0409747336436288,warmiwan,,"wife, woman"
γυνή,81,unigram,feminine,nominative,plural,warmikunapas,1.813574963220867,warmikunapas,warmikunapas,"wife, woman"
γυνή,84,unigram,feminine,nominative,singular,warmi,1.2167237083220657,warmi,warmi,"wife, woman"
ἄνεμος,5,unigram,masculine,nominative,plural,wayrapas,2.9998372109919558,wayrapas,wayrapas,wind
ἄνεμος,51,unigram,masculine,nominative,singular,ñawpaqenkumanta,1.1540210137022893,ñawpaqenkumanta,ñawpaqenkumanta,wind
πνεῦμα,112,unigram,neuter,accusative,singular,Santo,3.3545209190896665,Santo,Santo,"wind, breath, spirit"
πνεῦμα,16,unigram,neuter,nominative,singular,Santo,1.3224282081500156,Santo,Santo,"wind, breath, spirit"
ῥῆμα,123,unigram,neuter,accusative,plural,siminkunatan,1.940827141855644,siminkunatan,siminkunatan,word
ῥῆμα,110,unigram,neuter,accusative,singular,entienderqankuchu,1.539700633633857,entienderqankuchu,entienderqankuchu,word
ῥῆμα,22,unigram,neuter,nominative,plural,simikunaqa,1.9795352974081104,simikunaqa,simikunaqa,word
λόγος,111,unigram,masculine,accusative,plural,Pipas,1.2375568816920093,Pipas,,word
λόγος,103,unigram,masculine,accusative,singular,siminta,5.954428917444135,siminta,siminta,word
λόγος,200,unigram,masculine,nominative,singular,simi,1.1702926118723482,,simi,word
ἔργον,65,unigram,neuter,accusative,singular,ruwarqani,1.9652527826405635,ruwarqani,ruwarqani,work
ἐργάτης,143,unigram,masculine,nominative,singular,Llank'aqqa,1.9999489783035076,Llank'aqqa,,worker
ἔτος,170,unigram,neuter,accusative,plural,wataña,2.0121609429805214,wataña,wataña,year
