lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_54_translation,version_29_translation,version_4_translation,version_34_translation,version_51_translation,version_52_translation,version_63_translation,version_10_translation,version_35_translation,version_45_translation,version_6_translation,version_39_translation,version_36_translation,version_31_translation,version_50_translation,version_60_translation,version_14_translation,version_22_translation,version_59_translation,version_13_translation,version_2_translation,version_16_translation,version_62_translation,version_44_translation,version_11_translation,version_42_translation,version_41_translation,version_46_translation,version_40_translation,version_43_translation,version_53_translation,version_32_translation,version_9_translation,version_7_translation,version_38_translation,version_15_translation,version_48_translation,version_26_translation,version_12_translation,version_57_translation,version_24_translation,version_61_translation,version_19_translation,version_25_translation,version_30_translation,version_21_translation,version_49_translation,version_47_translation,version_3_translation,version_17_translation,version_37_translation,version_28_translation,version_20_translation,version_33_translation,version_1_translation,version_5_translation,version_18_translation,version_64_translation,version_55_translation,version_27_translation,version_23_translation,version_56_translation,version_58_translation,version_8_translation,english_translation
βρέφος,356,unigram,neuter,accusative,singular,manger,16.373515364615727,,babe,infant,baby,babe,babe,cratch,hay,feeding,evus,,manger,,Baby,babe,baby,baby,manger,baby,feeding,Baby,cratch,baby,manger,babe,babe,manger,,Babe,manger,,infant,hay,trough,manger,manger,manger,babe,infant,baby,feeding,baby,manger,,baby,manger,babe,,,manger,manger,babe,manger,baby,babe,baby,manger,babe,,babe,baby,trough,manger,hay,babies
ἀποθήκη,301,unigram,feminine,accusative,plural,barns,240108193325.4911,,barns,barns,barns,barns,barns,barns,barns,barns,storehouses,barns,barns,barns,barns,barns,barns,barns,barns,barns,store,,barnes,barns,barns,granaries,barns,barns,,barns,barns,,barns,barns,barns,barns,barns,barns,,barns,storehouses,barns,barns,barns,barns,barns,barns,barns,,,barns,,barns,barns,barns,barns,barns,barns,storehouses,,barns,barns,,barns,barns,barn
ἀποθήκη,74,unigram,feminine,accusative,singular,barn,14.330180590289265,,burn,burn,burn,burn,burn,barn,barn,,burn,barn,wheat,wheat,burn,wheat,barn,barn,barn,barn,wheat,wheat,,barn,wheat,burn,wheat,barn,,barn,wheat,,wheat,barn,barn,wheat,burn,wheat,burn,,burn,barn,barn,barn,barn,burn,barn,wheat,,wheat,wheat,wheat,burn,barn,burn,burn,barn,barn,,,burn,barn,wheat,barn,barn,barn
φραγμός,261,unigram,masculine,accusative,plural,lanes,2.0729693811276904,,hedges,,,,,,roads,,,,,,,,,,lanes,,,,,,,fences,,,,,,,,lanes,,,,lanes,hedges,,,highways,,lanes,lanes,,lanes,,,,Urge,,hedges,lanes,,,,lanes,,,hedges,,,,roads,"barrier, wall"
φραγμός,128,unigram,masculine,accusative,singular,hedge,2.480934539528009,,,hedge,,,,delved,,winepress,,,,,,hedge,hedge,,,hedge,vines,,winepresse,hedge,,fence,planted,juice,,hedge,,,,,wall,,,,,,,winepress,hedge,,winepress,,,hedge,,hedge,,,,,,,,,hedge,,,,,,,"barrier, wall"
ἀρχή,77,unigram,feminine,accusative,plural,defend,5.035523030595427,,magistrates,,,authorities,authorities,potentates,defend,defend,,defend,defend,defense,authorities,authorities,authorities,defend,,authorities,troubled,,Princes,authorities,defend,authorities,magistrates,,,,defend,,defense,defend,,defend,defend,authorities,magistrates,magistrates,authorities,worry,authorities,,defend,,,authorities,,,,worry,magistrates,,,authorities,defend,,,,magistrates,defend,defending,defend,defend,beginning
ἀρχή,203,unigram,feminine,accusative,singular,beginning,1456902.1286654095,,beginning,Beginning,beginning,beginning,beginning,beginning,Jesus.Jesus,beginning,,,Cana,Cana,Just,manifested,beginning,manifested,him.Jesus,beginning,beginning,,beginning,beginning,Cana,Altogether,beginning,,,beginning,Cana,,beginning,Jesus.Jesus,manifested,Cana,Exactly,showing,beginning,beginning,Altogether,,beginning,him.Jesus,,beginning,him.Jesus,manifested,,first,Cana,beginning,beginning,him.Jesus,beginning,beginning,Exactly,him.Jesus,beginning,,beginning,,be.,Galilee—He,Jesus.Jesus,beginning
ζώνη,194,unigram,feminine,accusative,plural,copper,11.814504863468771,,,belts,,brass,brass,girdles,copper,,belts,,copper,copper,copper,copper,,,copper,,purses,,,,copper,,heap,belts—no,,,copper,,copper,copper,,copper,,copper,,purses,,,,copper,,,copper,copper,,copper,copper,copper,,copper,copper,brass,,copper,,,,,lot,belts,copper,belt
ζώνη,250,unigram,feminine,accusative,singular,wore,1.5771080737208236,,leathern,camels,,,,honeysuckles,,,,,,,,wore,,,,,,,locusts,,wore,,,,,,wore,,wore,,,,,,,camels,,,,,,,,wore,,,,,leathern,,,,,,,,leathern,,consisted,,,belt
βλασφημία,34,unigram,feminine,accusative,plural,blasphemies,3266.8729413416127,,blasphemies,blasphemies,blasphemies,blasphemies,blasphemies,blasphemies,experts,Only,kashes,mutter,blasphemy,,blasphemies,blasphemies,blasphemies,blasphemies,blasphemy,blasphemies,Only,,blasphemies,blasphemies,blasphemies,,blasphemies,blasphemy,,blasphemies,blasphemies,,blasphemies,experts,blasphemies,blasphemy,blasphemies,Only,blasphemies,blasphemies,blasphemies,dares,blasphemies,blasphemy,Only,blasphemies,blasphemy,blasphemies,,blasphemies,,such,blasphemies,blasphemy,blasphemies,blasphemies,blasphemies,blasphemy,reason,blasphemous,blasphemies,blasphemies,objections,blasphemies,experts,blasphemy
βλασφημία,109,unigram,feminine,accusative,singular,blasphemy,8.361807205346528,,blasphemy,,,blasphemy,blasphemy,blasphemy,tore,tore,rending,,,,,,blasphemy,blasphemy,Blasphemy,blasphemy,tore,,,blasphemy,blasphemed,,tore,Blasphemy,,blasphemy,blasphemed,,,tore,,,blasphemy,ripped,blasphemy,blasphemy,,insulting,blasphemy,Blasphemy,tore,,Blasphemy,,,,dishonored,tore,blasphemy,Blasphemy,,blasphemy,,Blasphemy,witnesses,,blasphemy,,grievous,,tore,blasphemy
