lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2073_translation,version_2074_translation,version_2075_translation,english_translation
ἀγρός,379,unigram,masculine,accusative,plural,,,ilẹ,ìlú,abúlé,field
ἀγρός,47,unigram,masculine,accusative,singular,ra,1.6431632002747674,rà,ra,ra,field
δάκτυλος,269,unigram,masculine,accusative,plural,,,ika,,ìka,finger
δάκτυλος,204,unigram,masculine,accusative,singular,ìka,1.4743658632867895,ika,ìka,ìka,finger
ἰχθύς,178,unigram,masculine,accusative,plural,ẹja,2.2882340646530293,ẹja,ẹja,ẹja,fish
ἰχθύς,219,unigram,masculine,accusative,singular,ẹja,3.109910968185604,ẹja,ẹja,ẹja,fish
δίκτυον,126,unigram,neuter,accusative,plural,,,àwọn,àwọ̀n,àwọ̀n,fishing net
δίκτυον,229,unigram,neuter,accusative,singular,,,àwọn,àwọ̀n,àwọ̀n,fishing net
δίκτυον,199,unigram,neuter,nominative,plural,,,,àwọ̀n,àwọ̀n,fishing net
δίκτυον,280,unigram,neuter,nominative,singular,mẹ́tàléláádọ́jọ,1.0960965115985384,,mẹ́tàléláádọ́jọ,,fishing net
τροφή,281,unigram,feminine,accusative,plural,ra,1.5718070432392373,irà,ra,ra,food
τροφή,374,unigram,feminine,accusative,singular,,,ọlọgbọn,olùbojútó,lásìkò,food
πούς,272,unigram,masculine,accusative,plural,,,ẹsẹ,ẹsẹ̀,ẹsẹ̀,foot
πούς,130,unigram,masculine,accusative,singular,gbún,1.2383436946723732,gbún,,,foot
καρπός,210,unigram,masculine,accusative,plural,èso,4.236039132050486,eso,èso,èso,"fruit, crop, harvest"
καρπός,267,unigram,masculine,accusative,singular,èso,2.1067832811781058,eso,èso,èso,"fruit, crop, harvest"
πλήρωμα,309,unigram,neuter,accusative,plural,agbọ̀n,1.5227540495951266,,agbọ̀n,,fullness
πλήρωμα,373,unigram,neuter,accusative,singular,idãsa,1.1682475101679055,idãsa,,,fullness
γενεά,311,unigram,feminine,accusative,plural,,,irandiran,,ìranfún,generation
γενεά,268,unigram,feminine,accusative,singular,ìran,2.3593229088560737,iran,ìran,ìran,generation
γενεά,360,unigram,feminine,nominative,plural,ìran,2.3426732820748986,iran,ìran,ìran,generation
γενεά,173,unigram,feminine,nominative,singular,,,Iran,Ìran,ìran,generation
δῶρον,352,unigram,neuter,accusative,plural,,,ẹ̀bun,ẹ̀bùn,ọrẹ,gift
δῶρον,188,unigram,neuter,accusative,singular,,,ẹ̀bun,ẹ̀bùn,ìrúbọ,gift
ἡγεμών,196,unigram,masculine,accusative,plural,ọba,1.3193675813503607,ọba,ọba,gomina,"governor, ruler"
ἡγεμών,15,unigram,masculine,accusative,singular,,,gbolohun,baálẹ̀,gomina,"governor, ruler"
σταφυλή,213,unigram,feminine,accusative,plural,ọ̀gàn,1.1613026128296644,,,ọ̀gàn,grapes
ἀσπασμός,365,unigram,masculine,accusative,plural,ọjà,2.9565749936158103,ọjà,ọjà,ọjà,greeting
ἀσπασμός,197,unigram,masculine,accusative,singular,ọlẹ̀,1.3847741282133226,,,ọlẹ̀,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,,,amọ̀na,afọ́jú,fọ̀nà,guide
θρίξ,107,unigram,feminine,nominative,plural,irun,1.4486419125702419,,irun,irun,hair
θρίξ,249,unigram,feminine,nominative,singular,irun,2.970115091563987,irun,irun,irun,hair
χείρ,356,unigram,feminine,accusative,plural,ọwọ́,5.173946228497643,ọwọ́,ọwọ́,ọwọ́,hand
χείρ,254,unigram,feminine,accusative,singular,ọwọ́,7.652116834678963,ọwọ́,ọwọ́,ọwọ́,hand
κεφαλή,164,unigram,feminine,accusative,plural,,,ori,orí,mọ́nú,head
κεφαλή,237,unigram,feminine,accusative,singular,orí,2.7502640868601747,ori,orí,orí,head
στάχυς,238,unigram,masculine,accusative,plural,ọkà,1.5046272653553294,,ọkà,ọkà,head of grain
καρδία,40,unigram,feminine,accusative,plural,ọkàn,2.36714104238147,ọkàn,ọkàn,ọkàn,heart
καρδία,329,unigram,feminine,accusative,singular,ọkàn,24.830218319522466,ọkàn,ọkàn,ọkàn,heart
καρδία,381,unigram,feminine,nominative,plural,ìkẹ́kùn,1.0963047455737722,,ìkẹ́kùn,,heart
καρδία,221,unigram,feminine,nominative,singular,ọkàn,23.585560030143558,ọkàn,ọkàn,ọkàn,heart
οὐρανός,9,unigram,masculine,accusative,plural,,,pinya,,àdàbà,"heaven, sky"
οὐρανός,305,unigram,masculine,accusative,singular,,,ọrun,ọ̀run,ọ̀run,"heaven, sky"
οὐρανός,393,unigram,masculine,nominative,plural,,,adaba,àdàbà,pínyà,"heaven, sky"
οὐρανός,227,unigram,masculine,nominative,singular,,,Ọrun,Ọ̀run,Ọ̀run,"heaven, sky"
ὥρα,336,unigram,feminine,nominative,plural,Wákàtí,1.2938599283298742,,Wákàtí,,hour
ὥρα,30,unigram,feminine,nominative,singular,,,wakati,wákàtí,àkókò,hour
οἰκία,180,unigram,feminine,accusative,plural,ilé,1.0766966200495913,ile,ilé,ilé,house
οἰκία,370,unigram,feminine,accusative,singular,ilé,22.15812202982518,ile,ilé,ilé,house
οἶκος,324,unigram,masculine,accusative,plural,,,iriju,ìríjú,sinu,"house, home"
οἶκος,26,unigram,masculine,accusative,singular,ilé,27.334415383508954,ile,ilé,ilé,"house, home"
κριτής,351,unigram,masculine,nominative,plural,,,onidajọ,Beelsebulu,onídàájọ́,judge
κριτής,190,unigram,masculine,nominative,singular,,,onidajọ,onídàájọ́,,judge
κλείς,97,unigram,feminine,accusative,plural,,,kọkọrọ,kọ́kọ́rọ́,,key
κλείς,183,unigram,feminine,accusative,singular,,,ọmọ-ṣika,kọ́kọ́rọ́,kọ́kọ́rọ́,key
βασιλεύς,124,unigram,masculine,accusative,plural,ọba,2.6348535395206913,ọba,ọba,ọba,king
βασιλεύς,68,unigram,masculine,accusative,singular,ọba,3.5318290074485175,Ọba,ọba,ọba,king
βασιλεία,91,unigram,feminine,accusative,plural,,,Èṣu,gíga,ìjọba,kingdom
βασιλεία,185,unigram,feminine,accusative,singular,ìjọba,26.01922207658673,ijọba,ìjọba,ìjọba,kingdom
κόπος,230,unigram,masculine,accusative,plural,,,mba,lẹ́nu,lẹ́nu,"labour, work, trouble, difficulty"
κόπος,100,unigram,masculine,accusative,singular,,,lagãra,lágara.,lágara,"labour, work, trouble, difficulty"
λύχνος,290,unigram,masculine,nominative,plural,,,jo,fìtílà,títàn,lamp
λύχνος,265,unigram,masculine,nominative,singular,,,imọlẹ,fìtílà,ìmọ́lẹ̀,lamp
κλῆρος,114,unigram,masculine,accusative,plural,,,ìbo,ìbò,gègé,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,pín,1.5452675165672969,pín,pín,gègé,"lots (casting of lots), inheritance"
ἄνθρωπος,340,unigram,masculine,accusative,plural,,,enia,ènìyàn,eniyan,man
ἄνθρωπος,294,unigram,masculine,accusative,singular,,,ọkunrin,aláìmọ́,aláìmọ́,man
ἄνθρωπος,138,unigram,masculine,nominative,plural,,,enia,ènìyàn,eniyan,man
ἄνθρωπος,203,unigram,masculine,nominative,singular,,,ọkunrin,ọkùnrin,Ọkunrin,man
ἀνήρ,282,unigram,masculine,accusative,plural,tají,1.2587975036373542,tají,tají,tají,"man, husband"
ἀνήρ,286,unigram,masculine,accusative,singular,ọkọ,25.666109905221283,ọkọ,ọkọ,ọkọ,"man, husband"
ἀνήρ,171,unigram,masculine,nominative,plural,ọkunrin,3.2628752163498036,ọkunrin,ọkùnrin,ọkunrin,"man, husband"
ἀνήρ,274,unigram,masculine,nominative,singular,,,ọkunrin,ọkùnrin,Ọkunrin,"man, husband"
μνᾶ,343,unigram,feminine,accusative,plural,mina,2.2888079978870772,mina,mina,wúrà,mina (about 100 days' wages)
μνᾶ,16,unigram,feminine,accusative,singular,,,mina,,wúrà,mina (about 100 days' wages)
πρωτοκαθεδρία,122,unigram,feminine,accusative,plural,ọlá,1.1707912156756408,ibujoko,ọlá,ọlá,"most important seat, seat of honour"
πρωτοκαθεδρία,42,unigram,feminine,accusative,singular,ìkíni,1.2870833410549658,,ìkíni,,"most important seat, seat of honour"
μήτηρ,112,unigram,feminine,accusative,plural,,,ọgọrọrun,ọgọọgọ́rùn-ún,ìlọ́po,mother
μήτηρ,320,unigram,feminine,accusative,singular,ìyá,5.10678422238474,iya,ìyá,ìyá,mother
ὄρος,248,unigram,neuter,accusative,plural,òkè,1.5068213434803104,òke,òkè,òkè,mountain
ὄρος,303,unigram,neuter,accusative,singular,òkè,2.7951965250553066,òke,òkè,òkè,mountain
μύρον,32,unigram,neuter,accusative,singular,,,,dída,ìsìnkú,myrrh
ὄνομα,41,unigram,neuter,accusative,singular,orúkọ,22.071100405986225,orukọ,orúkọ,orúkọ,name
ὄνομα,120,unigram,neuter,nominative,plural,Orúkọ,1.3710056737860266,,Orúkọ,Orúkọ,name
ὄνομα,287,unigram,neuter,nominative,singular,orúkọ,14.48618051136182,orukọ,orúkọ,orúkọ,name
ἔθνος,263,unigram,neuter,accusative,plural,,,orilẹ-ède,orílẹ̀-èdè,orílẹ̀-èdè,nation
ἔθνος,222,unigram,neuter,accusative,singular,,,orilẹ-ède,orílẹ̀-èdè,orílẹ̀-èdè,nation
ἔθνος,346,unigram,neuter,nominative,plural,,,keferi,orílẹ̀-èdè,orílẹ̀-èdè,nation
ἔθνος,31,unigram,neuter,nominative,singular,,,orilẹ-ède,orílẹ̀-èdè,orílẹ̀-èdè,nation
νύξ,216,unigram,feminine,accusative,plural,,,,ọ̀sán,tọ̀sán-tòru,night
ὅρκος,69,unigram,masculine,accusative,plural,ìbúra,2.8744754187621546,ibura,ìbúra,ìbúra,oath
ὅρκος,302,unigram,masculine,accusative,singular,,,bú,ìbúra,búra,oath
βοῦς,176,unigram,masculine,accusative,plural,,,onipaṣipàrọ,onípàṣípàrọ̀,mààlúù,ox
βοῦς,315,unigram,masculine,accusative,singular,,,,ibùso,alágàbàgebè,ox
παραβολή,298,unigram,feminine,accusative,plural,òwe,11.77815092076367,owe,òwe,òwe,parable
παραβολή,255,unigram,feminine,accusative,singular,òwe,7.900667798623363,owe,òwe,òwe,parable
μέρος,392,unigram,neuter,accusative,plural,,,apa,apá,agbègbè,part
μέρος,60,unigram,neuter,accusative,singular,,,pín,ní,alaiṣootọ,part
μαργαρίτης,257,unigram,masculine,accusative,plural,,,,iyebíye,ìlẹ̀kẹ̀,pearls
μαργαρίτης,44,unigram,masculine,accusative,singular,rà,1.5959868259814902,,rà,rà,pearls
τόπος,313,unigram,masculine,accusative,plural,,,ìyan,Ìyàn,mì,place
τόπος,338,unigram,masculine,accusative,singular,ibi,3.87223949919613,ibi,ibi,Agbárí,place
πρωτοκλισία,318,unigram,feminine,accusative,plural,ọlá,1.0411682821328583,ọlá,ọlá,ipò,place of honor
πρωτοκλισία,43,unigram,feminine,accusative,singular,ọlá,1.5693492115389998,ọlá,ọlá,ọlá,place of honor
ὄφις,121,unigram,masculine,accusative,singular,ejò,13.754237235643306,ejò,ejò,ejò,poison
σκεῦος,159,unigram,neuter,accusative,plural,,,alagbara,ẹrù,alágbára,"possession, object, thing, jar, vessel"
σκεῦος,293,unigram,neuter,accusative,singular,,,èlo,títà,àgbàlá,"possession, object, thing, jar, vessel"
σκεῦος,149,unigram,neuter,nominative,plural,,,eniti,ẹrù,lóko,"possession, object, thing, jar, vessel"
δύναμις,123,unigram,feminine,accusative,plural,ìyanu,1.8694790922364142,ọ̀pọ,ìyanu,ìyanu,"power, ability, miracle"
δύναμις,54,unigram,feminine,accusative,singular,agbára,11.641878930030156,agbara,agbára,agbára,"power, ability, miracle"
δύναμις,94,unigram,feminine,nominative,plural,ìyanu,2.3940581794920432,agbara,ìyanu,ìyanu,"power, ability, miracle"
δύναμις,134,unigram,feminine,nominative,singular,agbára,1.5779611557916275,agbara,agbára,agbára,"power, ability, miracle"
ἱερεύς,23,unigram,masculine,nominative,plural,,,aijẹbi,láìjẹ̀bi,jẹ̀bi,priest
φυλακή,295,unigram,feminine,accusative,plural,túbú,1.106290521332697,,túbú,,prison
φυλακή,29,unigram,feminine,accusative,singular,,,tubu,túbú,sẹ́wọ̀n,prison
προφήτης,72,unigram,masculine,accusative,plural,,,wolĩ,wòlíì,wolii,prophet
προφήτης,228,unigram,masculine,accusative,singular,,,wolĩ,wòlíì,wolii,prophet
