lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_934_translation,version_935_translation,version_936_translation,version_937_translation,english_translation
ὄνομα,89,unigram,neuter,nominative,plural,amazina,7.122315220994874,amazina,amazina,,amazina,name
ὄνομα,224,unigram,neuter,nominative,singular,izina,2.545277137761683,izina,izina,witwaga,izina,name
ἔθνος,205,unigram,neuter,accusative,plural,mahanga,4.5897386391975115,mahanga,mahanga,mahanga,mahanga,nation
ἔθνος,267,unigram,neuter,nominative,plural,,,,,abapagani,abanyamahanga,nation
νύξ,167,unigram,feminine,accusative,plural,n'amajoro,4.977328044913039,n'amajoro,n'amajoro,n'amajoro,amajoro,night
νύξ,218,unigram,feminine,accusative,singular,n'amanywa,1.122703598140656,n'amanywa,n'amanywa,manywa,,night
ὅρκος,53,unigram,masculine,accusative,plural,yabirahiriye,1.1336605380765834,yabirahiriye,yabirahiriye,yarahiriye,indahiro,oath
βοῦς,136,unigram,masculine,accusative,plural,n'intama,2.320599659249856,n'intama,n'intama,n'intama,ibimasa,ox
παραβολή,198,unigram,feminine,accusative,singular,mugani,28.02172356697106,mugani,mugani,mugani,mugani,parable
μέρος,305,unigram,neuter,accusative,plural,karere,1.6748139349651245,karere,karere,ajya,karere,part
μαργαρίτης,200,unigram,masculine,accusative,plural,amasaro,1.999949106296321,,,,amasaro,pearls
τόπος,241,unigram,masculine,accusative,plural,hino,2.0083663336753332,hino,hino,hamwe,imitingito,place
τόπος,261,unigram,masculine,accusative,singular,ahantu,11.798355344373526,ahantu,ahantu,Nyabihanga,ahantu,place
πρωτοκλισία,244,unigram,feminine,accusative,plural,,,,,z'icyubahiro,imyanya,place of honor
πρωτοκλισία,32,unigram,feminine,accusative,singular,batumiwe,1.6419657048523644,,,,batumiwe,place of honor
ὄφις,90,unigram,masculine,accusative,singular,inzoka,6.249888893879689,inzoka,inzoka,inzoka,inzoka,poison
σκεῦος,121,unigram,neuter,accusative,plural,umunyamaboko,1.0595384180401852,,,,umunyamaboko,"possession, object, thing, jar, vessel"
σκεῦος,113,unigram,neuter,nominative,plural,ntazasubire,1.0960670999999007,,,,ntazasubire,"possession, object, thing, jar, vessel"
δύναμις,92,unigram,feminine,accusative,plural,ibitangaza,2.6623236415400475,ibitangaza,ibitangaza,ibitangaza,ibitangaza,"power, ability, miracle"
δύναμις,40,unigram,feminine,accusative,singular,,,,,imbaraga,ububasha,"power, ability, miracle"
δύναμις,72,unigram,feminine,nominative,plural,ibitangaza,3.092274067595991,ibitangaza,ibitangaza,ibitangaza,ibitangaza,"power, ability, miracle"
δύναμις,101,unigram,feminine,nominative,singular,,,,,imbaraga,bwa,"power, ability, miracle"
ἱερεύς,215,unigram,masculine,nominative,singular,umutambyi,1.615611971986413,,,umutambyi,,priest
φυλακή,228,unigram,feminine,accusative,plural,zabo,2.6099480472290257,zabo,zabo,,,prison
φυλακή,22,unigram,feminine,accusative,singular,y'imbohe,1.6742807562691968,,,y'imbohe,,prison
προφήτης,56,unigram,masculine,accusative,plural,abahanuzi,38.82231876779444,abahanuzi,abahanuzi,abahanuzi,abahanuzi,prophet
προφήτης,176,unigram,masculine,accusative,singular,umuhanuzi,276.6217169383929,umuhanuzi,umuhanuzi,umuhanuzi,umuhanuzi,prophet
προφήτης,199,unigram,masculine,nominative,plural,n'abahanuzi,5.578707557809065,n'abahanuzi,n'abahanuzi,,Abahanuzi,prophet
