lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1796_translation,version_1797_translation,version_1798_translation,version_1799_translation,version_1800_translation,english_translation
δάκτυλος,158,unigram,masculine,accusative,singular,pistä,5.079739031885907,pistä,,pistä,pistä,,finger
ἰχθύς,138,unigram,masculine,accusative,plural,kalaa,1.3729947251463994,kalaa,,kalaa,kalaa,kalaa,fish
ἰχθύς,170,unigram,masculine,accusative,singular,kalaa,3.200852117136,kalaa,,,,kalaa,fish
δίκτυον,98,unigram,neuter,accusative,plural,,,,,,verkkojaan,verkot,fishing net
τροφή,217,unigram,feminine,accusative,plural,menneet,1.0662991004653142,ostamaan,,ruokaa,menneet,menneet,food
τροφή,292,unigram,feminine,accusative,singular,,,toimellinen,,asettanut,,,food
πούς,211,unigram,masculine,accusative,plural,jalat,1.6519821936620431,jalkansa,,,jalat,jalat,foot
καρπός,163,unigram,masculine,accusative,plural,hedelmiä,5.803144299336484,hedelmät,,hedelmiä,hedelmiä,hedelmiä,"fruit, crop, harvest"
καρπός,207,unigram,masculine,accusative,singular,hedelmää,59.87032817830763,hedelmää,,hedelmää,hedelmää,hedelmää,"fruit, crop, harvest"
πλήρωμα,239,unigram,neuter,accusative,plural,,,täysinäistä,,täyttä,,korillista,fullness
πλήρωμα,291,unigram,neuter,accusative,singular,läpi,1.1454502626623055,läpi,,,,,fullness
γενεά,208,unigram,feminine,accusative,singular,lapset,2.2585732180887823,tämän,,sukupolven,lapset,lapset,generation
γενεά,134,unigram,feminine,nominative,singular,sukupolvi,10.085698903154437,sukukunta,,sukupolvi,sukupolvi,sukupolvi,generation
δῶρον,272,unigram,neuter,accusative,plural,lahjoja,2.329638768188307,tavaransa,,lahjoja,lahjoja,lahjoja,gift
δῶρον,146,unigram,neuter,accusative,singular,uhrilahja,2.468513437200012,lahjas,,,uhrilahja,uhrilahja,gift
ἡγεμών,153,unigram,masculine,accusative,plural,,,kuningasten,,maaherrain,eteen,maaherrojen,"governor, ruler"
ἡγεμών,9,unigram,masculine,accusative,singular,maaherra,1.1455182517999687,maaherra,,,,,"governor, ruler"
ἀσπασμός,283,unigram,masculine,accusative,plural,toreilla,4.114359434122608,turulla,,tervehdyksiä,toreilla,toreilla,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,taluttajat,1.6837117053754427,taluttajat,,taluttajat,oppaat,taluttajat,guide
θρίξ,83,unigram,feminine,nominative,plural,hiuksetkin,1.0595577236652918,,,,,hiuksetkin,hair
χείρ,276,unigram,feminine,accusative,plural,kätensä,71.74266819536972,kätensä,,kätensä,kätensä,kätensä,hand
χείρ,198,unigram,feminine,accusative,singular,kätensä,3.6559755009945345,kätensä,,kätensä,kätensä,kätensä,hand
κεφαλή,129,unigram,feminine,accusative,plural,nyökyttivät,1.1161578070400302,,,nyökyttivät,,,head
κεφαλή,184,unigram,feminine,accusative,singular,päänsä,2.1596808918551598,päänsä,,päänsä,,,head
στάχυς,185,unigram,masculine,accusative,plural,tähkäpäitä,1.255557782279607,tähkäpäitä,,,,,head of grain
καρδία,251,unigram,feminine,accusative,singular,sydämenne,6.318644129928034,,,sydämenne,sydämenne,sydämenne,heart
καρδία,172,unigram,feminine,nominative,singular,sydämenne,5.452716036381525,sydämenne,,sydämenne,,sydämenne,heart
οὐρανός,235,unigram,masculine,accusative,singular,taivaaseen,3.5318047209486934,taivaasen,,taivaaseen,taivaaseen,taivaaseen,"heaven, sky"
οὐρανός,177,unigram,masculine,nominative,singular,taivas,1.1111823363634494,taivas,,,,,"heaven, sky"
ὥρα,258,unigram,feminine,nominative,plural,hetkeä,1.1617873204569231,hetkeä,,,,,hour
ὥρα,22,unigram,feminine,nominative,singular,hetki,2.4822088822062893,hetki,,hetki,jolloin,hetki,hour
οἰκία,288,unigram,feminine,accusative,singular,taloon,26.55368893539174,huoneeseen,,taloon,taloon,taloon,house
οἶκος,18,unigram,masculine,accusative,singular,kotiinsa,2.21861032456875,kotiansa,,kotiinsa,kotiinsa,kotiinsa,"house, home"
κριτής,148,unigram,masculine,nominative,singular,tuomari,16.927777027491427,tuomari,,tuomari,tuomari,tuomari,judge
